burst,p256,f1,hr321,hr32,t50,t90 
2932,-0.23958,-5.73723,0.40199,0.30531,0.59923,0.95999
2311,-0.12552,-5.52372,0.33509,0.02923,0.95075,1.4216
2430,-0.15864,-5.48497,0.37483,0.05403,1.04673,1.44864
2505,-0.16368,-5.64421,0.45722,0.22809,1.27674,1.81329
3903,-0.13253,-5.54646,0.55322,0.184,1.25022,1.82238
3655,-0.05453,-5.59512,0.32518,0.01543,0.72526,1.28834
1396,0.22583,-5.58383,0.32604,0.11074,1.17909,1.32205
1446,-0.31605,-5.56439,0.52844,0.30613,0.96454,1.52551
5495,0.32715,-5.47284,0.42222,0.13606,0.51375,1.41949
2087,0.32325,-5.50289,0.54692,0.3125,0.43965,1.00484
1279,0.08063,-5.73623,0.2773,0.02911,1.07569,1.57703
4959,-0.30627,-5.37453,0.473,0.2601,1.04171,1.49593
5515,0.00689,-5.36682,0.3607,0.14591,1.38596,1.6966
2385,-0.25026,-5.94405,0.54436,0.43584,0.8396,1.25178
3102,-0.02,-5.03098,0.57996,0.38437,1.1754,1.56886
764,-0.01323,-5.63227,0.23538,0.03921,0.89254,1.31806
2181,-0.13253,-5.59818,0.45882,0.1857,1.2595,1.98544
3358,-0.03198,-5.53665,0.25164,0.02736,1.00208,1.39836
3085,0.12516,-5.43243,0.31937,0.00755,0.61909,1.05169
2569,0.01115,-5.79206,0.30867,-0.01838,0.94606,1.37438
3084,0.34753,-5.29063,0.48491,0.22271,0.69267,0.98227
501,0.041,-6.18766,0.37998,0.09677,0.69827,1.52799
3193,-0.18509,-5.39527,0.4806,0.22309,1.22115,1.80661
2047,0.32531,-5.62193,0.38033,0.11115,1.08721,1.61371
2405,-0.04576,-5.70497,0.62558,0.40734,1.39947,1.80627
2709,0.29842,-5.12626,0.56984,0.39298,0.95231,1.26708
1885,-0.11976,-5.46953,0.36635,0.24253,1.39724,1.78981
2725,-0.28904,-5.67008,0.4981,0.41122,0.51375,1.05415
658,0.10755,-5.5224,0.23565,0.01328,0.77931,1.31538
548,0.30016,-5.21149,0.3715,0.175,1.13659,1.559
2070,-0.19314,-5.84257,0.51856,0.3201,1.37203,1.74219
2664,-0.266,-5.343,0.38031,0.13663,1.09621,1.54615
2148,0.14644,-5.75129,0.42576,0.17476,1.66891,1.788
3129,-0.19586,-5.84808,0.33495,0.05573,0.94606,1.3038
3032,0.3653,-5.32697,0.34896,0.23072,0.90655,1.11793
2951,0.15137,-5.85216,0.4516,0.25219,0.36267,0.68699
3935,-0.30627,-5.14801,0.45928,0.21268,0.88173,1.43508
2204,-0.14267,-5.99648,0.33299,0.0661,1.04922,1.36248
3320,0.05767,-5.14254,0.32062,0.14167,1.27305,1.62965
2663,-0.18642,-5.77886,0.29898,0.08637,0.73046,1.08721
2774,-0.26281,-5.22995,0.4398,0.20952,1.05169,1.74144
3637,0.43088,-5.38567,0.51928,0.25726,0.62572,1.12005
2111,0.08707,-5.3402,0.24418,0.08398,1.17725,1.46324
2751,-0.38091,-5.78696,0.45239,0.22895,0.90655,1.31268
235,-0.25806,-5.5282,0.65442,0.42414,1.01301,1.42213
2310,-0.2815,-5.81772,0.42305,0.07674,1.16507,1.42995
5454,0.0086,-5.51234,0.33751,-0.02199,1.22778,1.55476
2610,0.1186,-5.20048,0.62367,0.36073,1.48923,1.68756
2277,0.0667,-5.35822,0.59307,0.37291,1.56129,1.84201
591,-0.07676,-5.49952,0.37059,0.0955,1.48652,1.74868
2101,-0.31785,-5.27388,0.50909,0.28519,1.15448,1.48012
2600,0.13988,-5.37327,0.23384,0.05332,0.99087,1.50254
3347,-0.13847,-5.23638,0.46612,0.12999,1.29684,1.78686
5531,0.2222,-5.35419,0.33366,-0.00675,0.87806,1.53046
3505,-0.07624,-5.69656,0.45087,-0.11832,1.04297,1.24155
5538,-0.20066,-5.41233,0.63556,0.50649,0.85926,1.37203
1742,-0.10403,-5.52427,0.30344,0.01222,1.02629,1.71734
1628,0.14799,-5.21665,0.34416,0.07014,1.34901,1.56358
3142,0.30771,-5.33594,0.6366,0.47026,0.92675,1.51967
3017,-0.03905,-5.10784,0.45713,0.24054,1.48287,1.87825
2900,-0.33161,-5.48731,0.58531,0.36324,0.55047,1.25873
1467,0.3543,-5.0034,0.469,0.19955,0.86308,1.42839
3515,-0.13847,-6.05376,0.31244,0.05836,0.8996,1.42839
2640,0.04336,-5.45289,0.30039,-0.01019,0.42943,1.41471
5545,0.34811,-5.5334,0.60287,0.40829,0.38596,1.09844
3109,0.08135,-5.29139,0.25477,0.03875,1.13252,1.53777
2695,-0.23508,-5.21152,0.35372,0.14188,1.15253,1.52343
1604,-0.27327,-5.59377,0.3283,0.07615,0.98516,1.45939
3164,-0.14267,-5.17589,0.61879,0.32009,0.45939,0.87437
1449,0.16673,-5.32208,0.30509,0.05887,1.35518,1.52135
2515,-0.065,-6.3215,0.50641,0.2979,0.45454,1.02235
2254,0.21431,-5.87327,0.52908,0.31939,0.2833,0.7356
1087,-0.07109,-5.85496,0.2902,0.042,1.34776,1.44066
2106,0.19368,-4.90015,0.61974,0.42995,0.89609,1.41577
3527,0.47813,-5.55871,0.49751,0.21698,0.56205,1.13252
5472,0.29248,-5.39673,0.38241,0.0473,1.0566,1.74144
5490,-0.01368,-5.89315,0.23781,0.00903,0.96755,1.26406
3283,0.41061,-5.4883,0.37461,0.13649,0.96152,1.66109
755,-0.03105,-6.13418,0.43628,0.20924,0.29754,0.8105
2074,0.11528,-4.94716,0.4791,0.26142,1.25797,1.92212
160,0.47712,-5.31334,0.5623,0.35397,0.92345,1.23106
773,-0.04624,-5.58436,0.31409,0.02911,1.31538,1.78527
2944,0.14706,-5.52857,0.64011,0.43826,0.45939,0.71466
3101,0.34596,-4.96519,0.4878,0.27352,0.92345,1.57259
1626,0.41979,-5.87328,0.516,0.26114,1.36847,1.48196
5407,-0.14691,-5.22889,0.52022,0.35654,1.44864,1.88063
5518,0.37162,-5.13038,0.46962,0.18953,0.8396,1.7152
4388,-0.01502,-5.60068,0.44109,0.18931,1.77838,1.8515
2482,0.12057,-5.37814,0.22522,0.01869,1.07569,1.55125
3237,0.30384,-5.32878,0.35426,0.0359,0.82737,1.66502
795,0.04727,-5.44083,0.2925,0.02726,1.32862,1.76665
5494,-0.05502,-5.93996,0.72574,0.40849,1.276,1.50515
3879,0.1784,-5.61971,0.24645,-0.02691,0.68124,1.48968
3771,0.15381,-5.32252,0.40708,0.21291,1.48923,2.12142
3267,-0.34582,-5.63372,0.43502,0.23243,1.26102,1.73509
1036,-0.02872,-5.26164,0.39804,0.15361,1.5163,2.00042
1346,0.1529,-6.06309,0.47265,0.35655,0.33766,0.65744
1956,0.41061,-5.26174,0.38943,0.14137,0.61236,1.14662
2443,0.32118,-4.84234,0.46713,0.29129,0.75066,1.46084
1123,-0.31876,-5.91417,0.61411,0.35689,1.23754,1.50688
5566,-0.05306,-4.8788,0.60993,0.3154,1.30861,1.60032
4569,0.29048,-5.55741,0.62551,0.39017,0.44963,0.7839
2440,-0.07727,-5.57803,0.28757,0.09405,1.43559,1.79895
5574,0.07041,-5.15555,0.45743,0.13683,1.45843,2.07849
753,-0.25026,-6.10224,0.36086,0.10636,0.59857,1.26102
1717,0.47741,-5.31848,0.48259,0.26544,0.52218,1.16602
2240,-0.2233,-5.71537,0.33567,0.0586,1.31806,1.62539
3096,0.35793,-5.55705,0.37723,0.14852,0.41896,0.84361
3339,-0.24185,-5.12938,0.55983,0.26841,1.31739,1.71332
1558,-0.41117,-5.86234,0.42115,0.15489,1.03663,1.44066
1740,-0.08407,-5.58109,0.63999,0.46676,1.50947,1.80357
3486,0.10312,-5.54461,0.35636,0.10102,1.69548,1.83108
1567,-0.27084,-5.64023,0.27746,0.04207,0.72526,1.23431
2992,-0.28483,-6.09798,0.61096,0.43439,1.07335,1.22614
237,-0.08355,-6.03955,0.66243,0.40405,1.48012,1.60758
2843,0.18213,-5.42995,0.72699,0.51891,0.82737,1.04673
4710,0.4615,-5.38814,0.42433,0.15071,0.51375,0.9993
5484,0.42797,-5.19519,0.51011,0.2669,1.12005,1.81007
5492,0.0026,-5.18161,0.63334,0.4478,0.99087,2.17167
2344,-0.34199,-5.08052,0.50576,0.2274,1.13456,1.49859
630,-0.22113,-5.92429,0.25414,0.0502,0.90309,1.2595
414,0.00561,-6.22496,0.34348,-0.01874,0.72526,1.19179
1806,-0.28735,-5.81204,0.3172,0.07866,1.19712,1.4946
3080,-0.01011,-5.04658,0.66348,0.23876,1.47457,1.68671
5551,-0.05306,-5.26319,0.3799,0.02787,1.49638,1.78092
2681,0.21458,-5.1369,0.6455,0.45275,1.26406,1.74395
5554,0.09899,-4.88442,0.59552,0.38223,1.26406,1.89925
1642,-0.29843,-5.63119,0.50521,0.3747,1.45258,1.91845
1661,-0.39469,-5.28188,0.49314,0.22552,1.12633,1.56433
3091,-0.06702,-5.68022,0.23902,-0.03969,0.67541,0.97644
2696,0.06108,-5.12047,0.2832,0.03507,1.23754,1.65866
3819,-0.03152,-5.56788,0.2874,-0.03711,1.19712,1.74017
1807,0.28194,-5.11512,0.40052,0.15064,1.42213,1.76379
5539,0.27393,-5.80192,0.26916,0.05436,0.93328,1.89111
2298,-0.26922,-5.3309,0.47833,0.2161,1.50079,1.8452
1303,-0.08145,-4.84237,0.68205,0.41247,0.8996,1.32732
2391,-0.45842,-5.39017,0.412,0.24129,0.77931,1.14364
2634,0.13799,-5.0567,0.28772,0.02949,1.08948,1.76831
3246,0.0569,-5.28405,0.35004,-0.06064,1.14464,1.73611
3792,-0.2204,-6.02927,0.32669,0.05044,0.53046,1.34337
1515,-0.07936,-5.24787,0.65405,0.34235,1.57036,1.84954
1657,-0.42713,-5.9857,0.5366,0.34114,0.69827,1.12424
2472,-0.41341,-5.76068,0.52833,0.35186,1.23915,1.62009
2129,-0.25337,-6.18758,0.47026,0.03397,0.97644,1.09398
3177,0.43185,-5.62593,0.4481,0.13807,0.33766,0.8253
5409,-0.0716,-4.95081,0.5237,0.25507,1.55514,1.84757
2233,-0.49894,-5.62205,0.48983,0.2232,0.80618,1.15253
3671,-0.0278,-5.47051,0.7039,0.40852,1.51967,1.84658
1651,0.44592,-5.27107,0.46757,0.11174,0.58433,0.93003
3913,0.03383,-4.89334,0.45309,0.30149,1.54891,1.90896
1611,-0.00261,-6.44695,0.54504,0.34508,1.46705,1.54733
3906,0.36586,-5.21404,0.30883,0.03365,0.84361,1.31672
5463,-0.11862,-4.90683,0.48427,0.19221,1.37203,1.81669
2857,-0.25964,-5.89927,0.6963,0.48769,1.00346,1.38995
3403,-0.34199,-5.78707,0.3081,0.12156,1.18093,1.50297
2437,-0.31426,-6.03157,0.64891,0.39645,0.61909,1.20151
1922,0.47363,-5.63862,0.40059,0.19222,0.26858,1.2093
3212,0.30535,-4.98309,0.38967,0.16563,1.07218,1.92129
2188,-0.07469,-5.34153,0.38061,0.1,1.70764,1.87139
3654,0.45939,-5.11892,0.57109,0.37927,0.58433,1.07452
2750,-0.26122,-6.10612,0.28384,0.10822,0.6695,1.04673
3407,0.18441,-5.16752,0.38081,0.1795,1.63805,1.96076
2373,-0.29757,-5.83544,0.29751,0.08329,1.14464,1.72026
2429,0.1427,-4.76131,0.40703,0.23336,1.31404,1.93571
3807,-0.08197,-5.95767,0.66367,0.46758,0.45939,0.75557
5524,-0.30892,-5.89079,0.33041,0.11215,1.27231,1.63258
3259,0.3145,-4.8562,0.5586,0.34168,1.18093,1.68528
171,-0.18977,-5.7341,0.2442,-0.05029,1.10938,1.39389
2367,0.61045,-5.89727,0.4178,0.17008,0.80182,1.27453
2187,-0.37986,-6.05933,0.40474,0.08678,0.90309,1.35272
2898,-0.10568,-5.22225,0.30831,-0.0862,0.82737,1.1754
5476,0.40654,-5.33235,0.31986,0.0186,1.12215,1.34021
5513,-0.44249,-5.93213,0.37539,0.20774,0.59506,1.23024
3843,0.36773,-4.88075,0.50496,0.33111,1.08493,1.70353
3238,0.20058,-5.78569,0.2407,-0.08536,0.80618,1.32073
2500,0.09342,-4.98675,0.36618,0.13319,1.59293,1.85072
5475,0.3831,-5.17184,0.55754,0.29994,1.40932,1.86213
2347,-0.2652,-5.99368,0.24673,0.08927,0.60552,1.08493
2324,-0.08355,-5.0593,0.32765,0.16674,1.43864,1.9671
1456,-0.27327,-5.55387,0.34401,0.00044,1.24551,1.68008
2570,0.40756,-4.99981,0.60535,0.4458,0.79295,1.14063
2560,-0.02919,-5.19146,0.76147,0.52906,0.7839,1.25022
1200,0.06781,-5.42271,0.19606,-0.06116,0.86308,1.44267
938,0.02202,-5.68026,0.18308,-0.0611,0.96152,1.49103
2862,-0.03905,-6.43457,0.38225,0.15309,1.43201,1.62143
5493,-0.09259,-5.1913,0.30504,0.03678,1.42684,1.85092
3159,0.01953,-6.04432,0.27009,-0.09333,1.14464,1.26102
5581,-0.24109,-6.04072,0.30921,-0.02556,0.91677,1.45891
3364,-0.08197,-4.93408,0.28763,0.0126,1.11687,1.59822
3001,0.62242,-5.21127,0.50638,0.28653,1.09621,1.4727
3074,-0.39041,-5.89141,0.36634,0.14636,1.24551,1.63548
1382,-0.29243,-6.10092,0.35475,0.12735,0.50515,0.89254
5389,0.61669,-5.15324,0.4291,0.23124,1.03407,1.37555
1731,0.35755,-4.92309,0.62869,0.47178,0.8996,1.19888
4653,0.09167,-5.46785,0.26345,-0.02159,1.52675,1.71332
3155,0.26623,-5.25212,0.55353,0.26879,0.10721,0.69267
3321,-0.24795,-5.91005,0.7006,0.55079,0.8996,1.36006
2123,0.32695,-5.19655,0.25194,0.00212,0.93003,1.34147
3890,0.02284,-5.88037,0.17714,-0.03852,0.71466,1.08721
5571,0.38881,-6.03153,0.51951,0.3018,0.1284,0.90655
3745,0.34459,-5.27839,0.38838,0.07616,1.3871,1.9261
1734,0.22994,-5.87129,0.25384,-0.05494,0.63869,1.6695
2880,0.46195,-5.74954,0.42704,0.17976,0.26553,0.7864
1192,-0.21467,-5.89089,0.27424,0.02403,1.44166,1.62572
3926,-0.06298,-5.55218,0.69946,0.6713,0.8515,0.99791
2593,0.19368,-5.3656,0.22542,-0.0825,0.96454,1.4755
5433,0.45133,-5.21606,0.39241,0.14774,1.21611,1.88063
2380,-0.01682,-5.22626,0.6503,0.45428,1.64941,1.91373
2394,0.04766,-5.16347,0.41603,0.15753,1.78023,2.14633
2581,0.21985,-5.08641,0.44825,0.15613,1.70981,2.0185
3146,-0.06956,-5.60834,0.45015,0.32164,0.12156,0.29292
914,0.40364,-5.70331,0.35379,0.06546,0.33766,0.82321
2863,0.26293,-4.65834,0.56674,0.32914,1.20758,1.62965
1039,0.14082,-5.61137,0.2045,-0.09019,0.87437,1.63031
3056,0.38256,-4.85401,0.36819,0.1002,0.99651,1.56015
5573,-0.45593,-5.81037,0.50343,0.20165,0.41896,0.89254
2452,-0.00305,-5.38022,0.19425,-0.08018,1.01569,1.36127
2133,-0.10902,-6.26712,0.40785,0.15565,0.32469,0.59151
1291,0.27989,-5.3347,0.73378,0.56882,0.83556,1.18458
1197,0.07408,-5.48382,0.17277,-0.08003,0.9735,1.37555
5420,-0.33913,-5.12775,0.43914,0.08277,1.30929,1.71225
660,0.65811,-5.13374,0.51571,0.31562,0.74068,1.30449
3144,-0.44009,-5.63675,0.57854,0.41153,0.53857,0.82321
3093,0.30664,-5.22793,0.35156,0.13277,1.56129,1.95107
3055,0.24944,-5.076,0.24413,0.05587,1.28475,1.60895
1390,-0.46344,-5.41666,0.27337,0.15121,0.86308,1.24866
2423,-0.28483,-6.06164,0.24925,0.02374,0.66351,1.06145
752,-0.08302,-6.13987,0.33578,0.0899,0.25334,0.7356
2328,0.19479,-5.09011,0.25953,0.00305,1.24393,1.73226
5423,-0.11238,-6.24293,0.28462,-0.04224,0.60552,1.12424
404,0.0026,-5.28197,0.2763,0.04091,1.47082,2.09129
3220,-0.15802,-4.80158,0.5131,0.27247,1.41949,2.00194
5451,0.63377,-5.07119,0.47709,0.24787,0.70927,1.38938
825,-0.38616,-5.45822,0.40957,0.09244,1.34776,1.87437
1660,0.22246,-5.35528,0.25292,-0.00849,1.4792,1.73149
2093,-0.00833,-5.47039,0.21242,-0.04047,1.30172,1.76427
2495,-0.15802,-5.35565,0.71248,0.55702,1.31538,1.5807
5523,0.56407,-5.16235,0.37363,0.09974,0.56961,1.25256
3912,0.60606,-5.05719,0.42892,0.12973,0.87064,1.41577
2401,-0.17328,-6.03124,0.56636,0.2493,0.16791,0.50515
2368,-0.32057,-5.92794,0.5231,0.32956,0.25888,0.61648
1578,0.57368,-4.90018,0.47734,0.3144,0.80182,1.31268
3075,0.36455,-5.3157,0.31113,0.05289,1.51883,1.63933
1159,0.54357,-5.60813,0.62584,0.44262,0.20412,1.26102
5379,0.10517,-5.32052,0.79587,0.59129,0.66351,1.05415
2451,0.4504,-5.08631,0.32735,0.11579,1.25489,1.54417
2636,-0.11691,-5.85911,0.16387,-0.02845,1.16029,1.49549
3800,-0.26043,-6.04954,0.22535,-0.00563,0.98227,1.34274
5456,0.45849,-5.90682,0.45188,0.25765,0.31133,0.59151
2077,-0.35853,-5.60321,0.33009,0.09669,1.40606,1.79607
5464,0.41497,-5.08035,0.69127,0.46472,1.03149,1.46036
3649,0.63114,-4.99469,0.44452,0.19754,0.77931,1.42318
3324,-0.32057,-6.29636,0.57709,0.43735,1.20063,1.57777
2749,0.09377,-5.64973,0.22043,-0.12311,0.37438,1.25178
2345,0.3955,-5.25655,0.44754,0.25296,1.72211,1.94919
472,-0.06956,-5.39942,0.25852,-0.00574,1.5763,1.91474
1815,0.6066,-4.95225,0.4714,0.28032,1.03407,1.29614
3916,0.05538,-5.00478,0.35038,0.02101,1.50688,2.06242
2419,-0.25964,-5.51453,0.62797,0.52919,1.52051,1.88227
3143,0.41313,-5.20558,0.50051,0.23829,0.20925,0.61773
741,-0.48678,-5.85608,0.69659,0.3187,0.73046,1.09621
2441,-0.41567,-5.27022,0.4342,0.09437,1.40002,1.76641
549,-0.47625,-5.86926,0.30157,0.08871,0.99087,1.15836
3076,0.14333,-4.98686,0.32432,0.06108,1.62835,1.92511
2848,-0.33161,-6.08369,0.35546,0.09784,0.38596,0.85926
3378,-0.12378,-5.52923,0.8938,0.46992,0.65973,0.98802
2053,0.57646,-5.72144,0.48548,0.26882,-0.04769,1.18639
2035,0.07555,-6.25615,0.31073,0.05597,0.22115,0.70381
3514,-0.09745,-4.97508,0.4028,0.05451,1.6938,1.94873
1318,-0.07212,-5.93851,0.33275,0.19263,1.68699,2.26918
3068,-0.12901,-6.13101,0.31142,0.10232,0.26858,0.61236
2309,0.14082,-5.20101,0.78415,0.61528,1.10938,1.31133
1614,0.00604,-5.34147,0.37732,0.22127,1.80182,2.33252
2428,0.31218,-4.84939,0.57411,0.41493,1.12633,2.16115
1656,0.15776,-5.38072,0.27603,0.03045,1.45356,2.26194
3905,0.64246,-4.92942,0.49348,0.28366,0.71466,1.38482
2081,0.0607,-5.26177,0.79655,0.60992,0.61236,1.19535
1167,-0.39041,-6.39876,0.37197,0.12228,0.87806,1.39051
3779,-0.17198,-6.34271,0.34129,-0.0225,0.47828,1.05415
3516,0.72222,-5.06208,0.59908,0.33236,0.81478,1.2833
4095,0.06408,-6.27027,0.44878,-0.03247,0.2833,0.65437
3569,0.65629,-5.69144,0.38777,0.11421,0.18639,1.32272
946,-0.21681,-5.7826,0.78398,0.46392,1.43149,1.68585
2998,0.08565,-5.53073,0.1295,-0.11092,0.98802,1.51925
408,0.15685,-5.19111,0.21706,0.03163,1.54969,1.93166
2190,0.26031,-4.97628,0.42505,0.1153,1.60206,2.13313
2392,-0.22841,-5.87787,0.22237,-0.1216,0.86688,1.31133
2947,-0.27165,-5.73884,0.17041,-0.04574,0.9735,1.34084
2727,-0.34582,-5.18845,0.5023,0.12874,1.67365,1.80813
1406,0.29403,-4.99084,0.22391,-0.04146,0.89254,1.30033
2519,0.18441,-5.21223,0.29105,0.06364,1.79829,1.9554
2105,-0.00043,-6.11925,0.33133,0.01318,0.22115,0.53046
3766,0.03782,-5.36897,0.47894,0.23086,2.07194,2.12871
577,-0.10073,-5.52619,0.33822,0.08142,1.75994,2.25489
3918,0.30038,-4.66724,0.54279,0.29517,1.3194,2.04322
2861,0.20439,-5.75246,0.42558,0.19919,-0.09745,0.20385
5419,0.53517,-5.45304,0.25729,-0.03641,0.93328,1.35763
5510,-0.3536,-5.43921,0.28141,0.01313,1.33638,1.70518
1883,0.716,-5.03801,0.55953,0.32699,0.55437,1.23915
2986,-0.19997,-6.16926,0.33221,0.16228,0.19089,0.60552
2927,-0.23657,-5.87062,0.21077,-0.10188,0.89076,1.53575
2446,0.5832,-5.04458,0.58367,0.43047,0.67541,0.91677
3356,0.32797,-5.7946,0.26244,-0.02445,0.38596,0.77466
1693,-0.15552,-6.22235,0.29134,-0.11633,0.66351,1.02102
3598,0.63959,-5.55675,0.47965,0.26691,0.22115,0.7839
559,-0.39362,-4.96901,0.291,0.16652,1.30033,1.53372
3893,0.56773,-4.73959,0.42252,0.23574,1.10503,1.55204
3512,0.68502,-4.91063,0.53771,0.32774,0.96755,1.47457
3899,-0.33068,-5.46727,0.27454,-0.07372,1.12005,1.64723
3436,0.55121,-4.73313,0.49982,0.16082,0.97644,1.60206
3901,-0.37366,-5.83804,0.25262,-0.03143,1.09174,1.63869
1148,0.16613,-4.949,0.72962,0.56474,1.1754,1.69323
3900,0.18583,-5.60118,0.22938,-0.02284,1.6847,1.93812
5572,0.53542,-5.9962,0.71642,0.49368,1.04922,1.30311
3119,-0.1209,-5.12662,0.22289,-0.12799,1.13252,1.55125
2913,0.716,-5.21423,0.33772,0.14469,1.28762,1.36006
2665,0.29798,-5.20788,0.19518,-0.0752,1.01837,1.48561
3257,0.48615,-4.83548,0.56869,0.34138,1.35395,1.80357
1646,-0.03245,-5.72909,0.34335,0.07166,1.99116,2.11067
1150,0.23249,-5.17232,0.25328,-0.06874,1.39501,1.78981
3914,-0.4908,-6.07949,0.39272,0.17612,1.32732,1.73585
223,-0.34008,-6.54645,0.41202,0.15731,1.35763,1.46514
2810,-0.04528,-5.90273,0.63339,0.49304,0.04297,0.38202
469,0.62552,-4.97112,0.62791,0.39894,0.59857,1.1882
3733,-0.25181,-6.6176,0.33593,0.08641,0.54654,1.10175
1213,-0.36856,-5.9867,0.7204,0.55269,1.09398,1.30587
2211,0.1452,-4.82577,0.63219,0.40649,1.83271,1.92544
2660,-0.03152,-5.71942,0.10319,-0.14659,0.8105,1.22778
1190,0.5302,-5.67724,0.32069,0.01901,0.25334,0.8554
3924,0.04727,-5.72139,0.22165,-0.2526,0.53046,1.0197
2371,0.67117,-4.73341,0.44673,0.26407,0.8105,1.25797
2589,-0.13966,-5.77448,0.23067,-0.1146,1.49237,1.74794
288,-0.28483,-5.26416,0.23764,-0.05797,1.33122,1.61439
1086,-0.4908,-6.09438,0.33284,0.00844,1.09398,1.35395
257,0.23325,-4.4349,0.51101,0.30162,1.45454,1.90758
2541,0.07954,-5.24384,0.22051,-0.05748,1.55398,1.95122
2230,-0.42251,-6.43218,0.41266,0.12194,0.68699,0.86688
3071,-0.02965,-4.38438,0.38144,0.14333,1.42213,1.85326
1574,-0.17198,-5.06989,0.32791,0.06344,1.76522,2.03304
3374,0.10653,-6.21141,0.59293,0.38607,-0.05552,0.3587
1586,-0.04287,-5.32536,0.19598,0.01435,1.73458,1.95694
2387,0.5867,-4.6543,0.45338,0.28464,1.11368,1.62308
692,0.11727,-5.36265,0.10241,-0.0894,0.76042,1.79607
3909,0.44295,-5.56254,0.22662,-0.15742,0.87064,1.26255
2232,0.77945,-4.91765,0.53646,0.3069,0.80618,1.75214
465,-0.51004,-6.41515,0.58235,0.19964,0.68699,1.14063
2924,-0.14813,-5.25721,0.36455,0.30674,2.03355,2.137
493,0.03981,-6.16923,0.25166,-0.03511,0.16791,0.68699
1701,0.2079,-6.27153,0.39291,0.02244,0.03663,0.53046
2069,-0.31785,-6.41131,0.65603,0.3817,1.4847,1.6847
3336,0.13098,-4.83564,0.52526,0.2897,1.96424,2.18412
4146,-0.05948,-5.34113,0.13332,-0.13239,1.21442,1.62933
3929,0.59868,-4.62921,0.60668,0.35039,0.92675,1.45551
5411,-0.10182,-5.83281,0.16032,-0.21086,0.71466,1.43355
4814,0.55847,-5.54786,0.59907,0.3405,0.13988,0.47188
1384,0.11959,-6.31354,0.81332,0.46866,1.49282,1.69154
133,-0.18111,-5.24068,0.51091,0.21096,1.97878,2.26011
974,-0.47237,-5.95547,0.43181,0.26646,0.23754,0.50515
2703,0.46075,-4.6233,0.58304,0.3483,1.35395,1.7609
2375,0.04297,-5.20937,0.81575,0.54772,1.55281,1.83149
1687,-0.33348,-6.14365,0.17672,0.01819,1.14464,1.51033
467,0.88812,-5.17131,0.63957,0.45103,0.94606,1.5763
2775,-0.34679,-5.3889,0.1923,-0.07247,1.12215,1.50035
3776,0.74367,-4.78349,0.45483,0.13628,0.61909,1.04423
2511,0.25334,-5.90208,0.20331,-0.08567,1.50775,1.80813
1125,-0.32606,-6.14186,0.15967,0.00438,0.7457,1.25797
108,-0.35754,-5.81941,0.33042,0.13887,0.10721,0.49638
2551,-0.24033,-6.02806,0.6543,0.6543,1.44914,1.80203
840,0.11494,-5.37811,0.76024,0.61536,1.70873,1.88391
1714,-0.47886,-5.81806,0.2933,-0.11783,1.03407,1.37321
2346,0.46642,-5.2639,0.27451,0.02811,1.57777,1.91962
1982,0.22634,-4.57911,0.61727,0.47878,1.40606,2.0407
3135,-0.13077,-5.8591,0.18248,-0.09976,1.53737,1.69239
2321,0.87737,-5.01945,0.54324,0.31752,0.50515,0.92345
2961,-0.24949,-4.93042,0.67346,0.44481,1.70873,1.94763
5485,-0.4023,-6.29306,0.53853,0.26077,0.25334,0.58433
2628,0.85169,-5.36476,0.49954,0.32952,0.23754,0.76997
3279,0.06633,-5.52464,0.1442,-0.17872,1.43149,1.61338
222,0.60097,-5.14698,0.42456,0.18134,1.75606,1.86385
2958,0.57415,-4.80527,0.35763,0.14796,1.456,1.56698
2790,0.54045,-4.65742,0.50685,0.27639,1.47457,1.6556
3494,0.01995,-6.15132,0.49958,0.05135,-0.04769,0.1486
2438,0.45439,-5.64218,0.15799,-0.09395,0.69827,1.26482
5417,0.91158,-4.97509,0.50332,0.25447,0.39724,1.20585
2442,-0.31966,-6.46513,0.24058,-0.00939,1.10065,1.37438
1636,0.1345,-6.27514,0.35278,0.19804,-0.11464,0.31133
3892,0.22167,-5.73944,0.31506,-0.1972,0.22115,0.59151
869,0.54617,-4.7268,0.47326,0.32519,1.28619,2.04322
2454,-0.04721,-5.95434,0.30004,0.15193,-0.19928,0.13322
4350,0.51441,-4.86585,0.36791,0.0257,1.49638,1.716
3174,-0.28819,-5.11092,0.1479,-0.07541,0.98516,1.3038
2948,-0.1549,-4.98645,0.29032,-0.03641,1.68813,2.00525
3284,0.01284,-6.40843,0.64984,0.51534,0.06145,0.70381
5526,0.52956,-4.69515,0.47458,0.23674,1.54258,1.86003
2213,0.66191,-5.0317,0.45088,0.22002,1.71305,1.79161
5542,0.15836,-5.01516,0.79189,0.57038,1.4727,1.90309
2040,-0.02091,-6.04647,0.44067,0.44067,-0.33068,0.0461
5479,0.44028,-4.9053,0.37935,0.11301,1.58288,2.13781
2476,0.24403,-5.02648,0.15532,-0.12682,1.15836,1.50079
1196,-0.25649,-5.6802,0.61475,0.45552,2.01435,2.21204
2736,0.6869,-5.14275,0.40592,0.13748,0.20003,0.70458
3301,0.44824,-4.52803,0.66451,0.45206,1.08948,1.55746
867,0.37218,-5.37654,0.70578,0.47354,0.17173,0.41731
2608,-0.04479,-6.06874,0.12413,-0.17043,1.19179,1.46941
5575,0.93852,-4.94098,0.39747,0.08071,0.92675,1.10721
