burst,p256,f1,hr321,hr32,t50,t90 
3782,-0.20482,-7.42758,0.49808,0.27092,-1.19382,-0.79588
1663,1.27884,-3.77015,0.73458,0.56952,1.02629,1.55592
2896,0.88857,-6.10957,0.2517,0.02229,-0.84164,-0.34104
4776,0.6621,-5.75352,0.79975,0.59624,-0.7167,-0.34872
2776,-0.26922,-6.67532,0.81142,0.81142,0.18639,0.2907
1968,-0.05849,-6.58243,0.93385,0.55503,-0.59176,-0.15243
3791,0.32675,-5.78045,0.92556,0.62201,-0.95078,-0.47366
3215,0.81164,-5.86075,0.75749,0.53999,-0.89279,-0.19382
3410,1.00574,-6.18992,0.48582,0.30051,-1.25181,-0.93554
3156,-0.25337,-5.01104,0.19277,-0.15551,2.29536,2.47712
3441,0.06521,-6.91151,0.70996,0.57095,-1.01773,-0.61979
2798,1.37563,-3.63584,0.69806,0.58324,0.9554,1.69154
3770,0.44886,-5.98083,0.84453,0.71925,-0.38091,-0.2644
2964,-0.02319,-7.22646,0.60596,0.54249,-1.09691,-0.69897
2372,-0.31336,-6.98613,0.4904,0.4904,-1.14267,-0.59176
526,-0.30627,-6.21718,-0.04959,-0.60193,0.39724,0.81902
3939,0.26811,-6.02323,0.02593,-0.30311,-0.23958,0.23477
3066,0.09552,-6.49046,0.73477,0.70401,-1.05552,-0.75449
3173,0.8014,-5.53106,0.72834,0.5499,-1.05552,-0.68194
3038,0.13033,-6.09951,0.91322,0.81934,-0.55284,-0.33348
3042,0.82885,-4.15443,0.63491,0.42053,2.00069,2.25996
254,0.12024,-5.89196,0.99895,0.75482,-0.7167,-0.41567
2711,-0.04287,-5.26663,-0.07575,-0.46728,1.94227,2.09644
2918,0.33526,-6.21349,0.82177,0.70282,-0.59176,-0.34872
2614,0.77041,-5.54348,0.76978,0.52643,-1.05552,-0.52871
2132,-0.05948,-7.25729,0.56135,0.43334,-1.58503,-1.04576
816,-0.4828,-5.5081,-0.02396,-0.58296,1.37672,1.95877
2384,-0.2636,-6.9315,0.2447,0.05661,-0.89279,-0.7167
2945,0.12969,-6.02749,-0.15728,-0.50973,-0.04769,0.53046
2994,1.159,-3.97036,0.79623,0.57255,1.18639,1.68642
788,0.13513,-6.84473,0.17862,-0.03736,-1.04096,-0.51856
